Site,Date,Location,Water Temperature_C,Air Temperature_C,pH_ph,Conductivity_uS/cm2,Dissolved Oxygen_mg/L,Chlorophyll-a_ug/L,Total Microcystins_ug/L,Dissolved Microcystins_ug/L,Nitrate+Nitrite_umol/L,Ammonium_umol/L,Nitrite_umol/L,Soluble Reactive Phosphorus_umol/L,Silicate_umol/L,Nitrate_umol/L,Total Phosphorus_umol/L,Total Kjehldahl Nitrogen_umol/L,Total Nitrogen_umol/L,TN:TP_ratio,Fluoroprobe Green Algae_ug/L,Fluoroprobe Bluegreen Algae_ug/L,Fluoroprobe Diatoms_ug/L,Fluoroprobe Cryptophyta_ug/L,Fluoroprobe Total Chlorophyll_ug/L
EC 1163,2017-08-14,Outer Bay,24.44,27,10.42,270,14.57,50.13333333,3.878015458,NA,2.141832123,1.713465699,0,0.451995466,32.85714286,2.141832123,2.84111436,NA,NA,NA,NA,NA,NA,NA,NA
Bells,2017-08-14,Lake Erie,24.42,27,10,280,11.42,11.23,NA,NA,2.141832123,2.78438176,0.713944041,0.387424685,41.42857143,1.427888082,1.194559447,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 4,2017-08-28,Inner Bay,22.26,20,10.67,340,10.74,56.66666667,5.9207768,NA,0,0.713944041,0,0.903990933,40,0,8.071347614,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 6,2017-08-28,Inner Bay,22.19,22.2,10.96,300,11.98,59.50333333,4.427675422,NA,0,0.999521657,0,0.322853905,43.92857143,0,5.746799501,NA,NA,NA,NA,NA,NA,NA,NA
Bridge,2017-08-28,Inner Bay,22.42,22.8,10.72,310,10.76,38.76666667,8.604883798,NA,0.713944041,1.21370487,0,0.322853905,77.5,0.713944041,5.165662473,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 2,2017-08-28,Outer Bay,22.65,22.8,10.99,290,12.7,31.25666667,7.101461935,NA,1.427888082,1.356493678,0,0.322853905,73.57142857,1.427888082,4.939664739,NA,NA,NA,NA,NA,NA,NA,NA
Buoy 2,2017-08-28,Outer Bay,22.44,22.2,10.57,280,11.34,21.86,5.301598345,NA,0.713944041,1.57067689,0,0.419710076,71.07142857,0.713944041,3.486822169,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-08-28,Outer Bay,22.39,22.2,10.46,290,11.44,40.52666667,2.614489311,NA,2.141832123,1.642071294,0.713944041,0.387424685,76.42857143,1.427888082,3.099397484,NA,NA,NA,NA,NA,NA,NA,NA
EC 1163,2017-08-28,Outer Bay,22.56,22.2,10.25,280,10.66,40.24,0.969121197,NA,0,1.070916062,0,0.225997733,40.35714286,0,2.066264989,NA,NA,NA,NA,NA,NA,NA,NA
Bells,2017-08-28,Lake Erie,23.06,21.1,10.26,270,11.47,14.91666667,NA,NA,0.713944041,0.856732849,0,0.322853905,22.14285714,0.713944041,1.581984132,NA,NA,NA,NA,NA,NA,NA,NA
Muddy Creek,2018-06-05,Inner Bay,21.8,20,8.34,519,7.98,NA,NA,NA,359.8277967,13.42214797,11.42310466,1.291415618,223.5714286,348.404692,11.12231701,NA,138.505144,12.45290382,NA,NA,NA,NA,NA
ODNR 4,2018-06-05,Inner Bay,21.93,19.4,9.31,448,12.53,NA,NA,NA,125.6541512,0.499760829,0,-0.03228539,66.07142857,125.6541512,5.456230987,NA,144.2166963,26.43155993,NA,NA,NA,NA,NA
ODNR 6,2018-06-05,Inner Bay,21.5,18.9,9.32,431,10.7,NA,NA,NA,0.713944041,0.928127253,0,0.096856171,40.35714286,0.713944041,4.752409475,NA,162.5650582,34.20687106,NA,NA,NA,NA,NA
