site,date_time,discharge,note
4198000,1/3/2019 23:30,5970,cubic feet per second
4198000,1/3/2019 23:45,5950,cubic feet per second
4198000,1/4/2019 0:00,5950,cubic feet per second
4198000,1/4/2019 0:15,5920,cubic feet per second
4198000,1/4/2019 0:30,5900,cubic feet per second
4198000,1/4/2019 0:45,5870,cubic feet per second
4198000,1/4/2019 1:00,5840,cubic feet per second
4198000,1/4/2019 1:15,5820,cubic feet per second
4198000,1/4/2019 1:30,5790,cubic feet per second
4198000,1/4/2019 1:45,5790,cubic feet per second
4198000,1/4/2019 2:00,5770,cubic feet per second
4198000,1/4/2019 2:15,5740,cubic feet per second
4198000,1/4/2019 2:30,5710,cubic feet per second
4198000,1/4/2019 2:45,5710,cubic feet per second
4198000,1/4/2019 3:00,5690,cubic feet per second
4198000,1/4/2019 3:15,5660,cubic feet per second
4198000,1/4/2019 3:30,5640,cubic feet per second
4198000,1/4/2019 3:45,5610,cubic feet per second
4198000,1/4/2019 4:00,5590,cubic feet per second
4198000,1/4/2019 4:15,5560,cubic feet per second
4198000,1/4/2019 4:30,5540,cubic feet per second
4198000,1/4/2019 4:45,5510,cubic feet per second
4198000,1/4/2019 5:00,5480,cubic feet per second
4198000,1/4/2019 5:15,5460,cubic feet per second
4198000,1/4/2019 5:30,5430,cubic feet per second
4198000,1/4/2019 5:45,5410,cubic feet per second
4198000,1/4/2019 6:00,5380,cubic feet per second
4198000,1/4/2019 6:15,5360,cubic feet per second
4198000,1/4/2019 6:30,5330,cubic feet per second
4198000,1/4/2019 6:45,5310,cubic feet per second
4198000,1/4/2019 7:00,5290,cubic feet per second
4198000,1/4/2019 7:15,5260,cubic feet per second
4198000,1/4/2019 7:30,5240,cubic feet per second
4198000,1/4/2019 7:45,5210,cubic feet per second
4198000,1/4/2019 8:00,5190,cubic feet per second
4198000,1/4/2019 8:15,5140,cubic feet per second
4198000,1/4/2019 8:30,5140,cubic feet per second
4198000,1/4/2019 8:45,5110,cubic feet per second
4198000,1/4/2019 9:00,5090,cubic feet per second
4198000,1/4/2019 9:15,5070,cubic feet per second
4198000,1/4/2019 9:30,5040,cubic feet per second
4198000,1/4/2019 9:45,5020,cubic feet per second
4198000,1/4/2019 10:00,4990,cubic feet per second
4198000,1/4/2019 10:15,4970,cubic feet per second
4198000,1/4/2019 10:30,4940,cubic feet per second
4198000,1/4/2019 10:45,4920,cubic feet per second
4198000,1/4/2019 11:00,4870,cubic feet per second
4198000,1/4/2019 11:15,4850,cubic feet per second
4198000,1/4/2019 11:30,4820,cubic feet per second
4198000,1/4/2019 11:45,4800,cubic feet per second
4198000,1/4/2019 12:00,4770,cubic feet per second
4198000,1/4/2019 12:15,4750,cubic feet per second
4198000,1/4/2019 12:30,4720,cubic feet per second
4198000,1/4/2019 12:45,4680,cubic feet per second
4198000,1/4/2019 13:00,4650,cubic feet per second
4198000,1/4/2019 13:15,4630,cubic feet per second
4198000,1/4/2019 13:30,4580,cubic feet per second
4198000,1/4/2019 13:45,4560,cubic feet per second
4198000,1/4/2019 14:00,4530,cubic feet per second
4198000,1/4/2019 14:15,4490,cubic feet per second
4198000,1/4/2019 14:30,4490,cubic feet per second
4198000,1/4/2019 14:45,4440,cubic feet per second
4198000,1/4/2019 15:00,4420,cubic feet per second
4198000,1/4/2019 15:15,4370,cubic feet per second
4198000,1/4/2019 15:30,4370,cubic feet per second
4198000,1/4/2019 15:45,4320,cubic feet per second
4198000,1/4/2019 16:00,4300,cubic feet per second
4198000,1/4/2019 16:15,4280,cubic feet per second
4198000,1/4/2019 16:30,4260,cubic feet per second
4198000,1/4/2019 16:45,4210,cubic feet per second
4198000,1/4/2019 17:00,4190,cubic feet per second
4198000,1/4/2019 17:15,4170,cubic feet per second
4198000,1/4/2019 17:30,4120,cubic feet per second
4198000,1/4/2019 17:45,4100,cubic feet per second
4198000,1/4/2019 18:00,4080,cubic feet per second
4198000,1/4/2019 18:15,4050,cubic feet per second
4198000,1/4/2019 18:30,4010,cubic feet per second
4198000,1/4/2019 18:45,3990,cubic feet per second
4198000,1/4/2019 19:00,3970,cubic feet per second
4198000,1/4/2019 19:15,3940,cubic feet per second
4198000,1/4/2019 19:30,3920,cubic feet per second
4198000,1/4/2019 19:45,3880,cubic feet per second
4198000,1/4/2019 20:00,3860,cubic feet per second
4198000,1/4/2019 20:15,3810,cubic feet per second
4198000,1/4/2019 20:30,3790,cubic feet per second
4198000,1/4/2019 20:45,3750,cubic feet per second
4198000,1/4/2019 21:00,3730,cubic feet per second
4198000,1/4/2019 21:15,3710,cubic feet per second
4198000,1/4/2019 21:30,3690,cubic feet per second
4198000,1/4/2019 21:45,3660,cubic feet per second
4198000,1/4/2019 22:00,3640,cubic feet per second
4198000,1/4/2019 22:15,3600,cubic feet per second
4198000,1/4/2019 22:30,3580,cubic feet per second
4198000,1/4/2019 22:45,3540,cubic feet per second
4198000,1/4/2019 23:00,3520,cubic feet per second
4198000,1/4/2019 23:15,3500,cubic feet per second
4198000,1/4/2019 23:30,3480,cubic feet per second
